
1	 -1, 0, 0, 0, 0, 0, 0; 0, 0, -1, 0, 0, 0; -103; 33, 80, 87.58, 0.36, 6.97, 243.2, 92.52, 0.98, 58.42, 5.41, 38.56, 1.82, 12.75
2	 -1, 1, 1, 0, 0, 1, 0; 0, 0, -1, 0, 0, 0; -98; 32, 80, 86.13, 0.36, 6.98, 299.25, 158.56, 1, 61.08, 4.86, 27.89, 2.59, 11.75
3	 0, 1, 1, 0, 0, 0, 1; 0, 0, -1, 0, 0, 0; -93; 32, 80, 86.4, 0.36, 6.94, 361.0, 222.03, 1, 64.81, 4.31, 17.22, 3.36, 10.75
4	 1, -1, 0, 0, 1, 1, 1; 0, 0, -1, 0, 0, 0; -89; 33, 80, 84.76, 0.35, 6.98, 324.9, 172.91, 1, 66.77, 3.72, 25.78, 4.18, 9.75
5	 1, 0, 1, 0, 0, 0, 0; 0, 0, -1, 0, 0, -1; -84; 34, 80, 80.64, 0.34, 6.98, 324.9, 154.13, 1, 69.69, 3.09, 13.52, 5.06, 8.75
6	 1, 0, 0, 0, 0, 0, 0; 0, 0, -1, 0, -1, -2; -79; 35, 80, 78.38, 0.33, 6.98, 324.9, 136.98, 1, 72.36, 2.42, 0.38, 6.0, 7.75

1	 -1, -1, 0, 1, 0, 1, 1; 0, 0, -1, 0, 0, 0; -102; 33, 80, 94.33, 0.39, 7.02, 212.8, 70.21, 0.93, 56.83, 6.41, 38.56, 1.82, 12.75
2	 0, 0, -1, 1, 0, 0, 1; 0, 0, -1, 0, 0, 0; -97; 33, 80, 93.6, 0.39, 7.07, 192.85, 47.72, 0.84, 53.19, 6.82, 27.12, 2.64, 11.75
3	 1, 1, 1, 0, 1, 0, 0; 0, 0, -1, 0, 0, 0; -93; 34, 80, 89.64, 0.37, 7.02, 243.2, 86.53, 0.97, 59.48, 6.19, 34.86, 3.52, 10.75
4	 1, 0, -1, 1, 0, 1, 1; 0, 0, -1, 0, 0, 0; -88; 35, 80, 87.11, 0.36, 7.11, 220.4, 47.29, 0.84, 58.08, 6.52, 21.72, 4.46, 9.75
5	 0, -1, 1, 0, 0, 0, 0; 0, 0, -1, 0, 0, -1; -84; 35, 80, 84.5, 0.35, 7.07, 212.8, 34.6, 0.69, 62.68, 5.85, 8.58, 5.4, 8.75
6	 -1, 1, 1, 0, 0, 0, 1; 0, 0, -1, 0, 0, -2; -78; 34, 80, 85.63, 0.36, 7.02, 266.0, 104.2, 1, 64.37, 5.22, -3.68, 6.28, 7.75

1	 1, -1, -1, 0, 1, 0, 0; 0, 0, -1, -2, 0, 1; -106; 35, 80, 67.25, 0.28, 7.02, 192.85, -27.37, 0, 65.7, 5.33, 56.86, 1.94, 12.75

1	 0, 1, -1, 0, 0, 0, 0; 0, 0, -1, 0, 0, 0; -105; 34, 80, 71.63, 0.3, 7.02, 247.95, 52.47, 0.86, 61.56, 5.37, 37.74, 1.88, 12.75
2	 0, 1, 0, 0, 1, 1, 0; 0, 0, -1, 0, 0, 1; -101; 34, 80, 70.67, 0.29, 7.07, 275.5, 79.01, 0.95, 61.95, 4.74, 45.48, 2.76, 11.75
3	 0, 1, 1, 1, 0, 0, 1; 0, 0, -1, 0, 0, 0; -96; 34, 80, 69.6, 0.29, 7.02, 304.0, 105.61, 1, 66.21, 5.11, 33.22, 3.64, 10.75
4	 -1, 0, 0, 0, 0, 0, 0; 0, 0, -1, 0, 0, 0; -91; 33, 80, 69.69, 0.29, 7.02, 304.0, 119.18, 1, 64.16, 4.52, 21.78, 4.46, 9.75
5	 0, -1, 1, 0, 1, 1, 0; 0, 0, -1, 0, 0, 0; -86; 33, 80, 68.36, 0.28, 7.02, 299.25, 111.05, 1, 68.5, 3.93, 30.34, 5.28, 8.75
6	 -1, -1, -1, 1, 1, 0, 0; 0, 0, -1, 0, 0, 0; -81; 32, 80, 67.32, 0.28, 7.07, 243.2, 63.63, 0.91, 63.2, 4.38, 39.67, 6.05, 7.75
7	 1, 1, 0, 0, 0, 0, 0; 0, 0, -1, 0, 0, 0; -76; 33, 80, 64.79, 0.27, 7.07, 273.6, 75.19, 0.94, 66.28, 3.79, 28.23, 6.87, 6.75
8	 -1, -1, -1, 0, 0, 0, 0; 0, 0, -1, 0, 0, 0; -71; 32, 80, 64.96, 0.27, 7.11, 220.4, 34.56, 0.69, 60.38, 3.24, 17.56, 7.64, 5.75
9	 -1, 0, -1, 0, 0, 0, 0; 0, 0, -1, 0, -1, -1; -66; 31, 80, 64.96, 0.27, 7.17, 197.6, 23.66, 0.47, 54.7, 2.73, 7.6, 8.35, 4.75
10	 0, -1, 1, 0, 1, 1, 1; 0, 0, -1, 0, -1, 0; -61; 31, 80, 64.8, 0.27, 7.16, 192.85, 19.06, 0.38, 58.57, 2.22, 17.64, 9.06, 3.75
11	 -1, -1, 1, 0, 0, 0, 1; 0, 0, -1, 0, -2, -1; -56; 30, 80, 66.06, 0.28, 7.11, 182.4, 23.53, 0.47, 60.14, 1.74, 8.35, 9.73, 2.75

1	 0, 1, 0, 0, 0, 0, 0; 0, 0, -1, 0, 0, 0; -105; 34, 80, 73.29, 0.31, 6.97, 273.6, 83.62, 0.96, 64.69, 5.37, 37.74, 1.88, 12.75
2	 1, 0, -1, 0, 0, 1, 1; 0, 0, -1, 0, 0, 0; -100; 35, 80, 72.99, 0.3, 7.07, 247.95, 43.01, 0.82, 63.07, 4.7, 24.6, 2.82, 11.75
3	 0, -1, 1, 1, 1, 0, 1; 0, 0, -1, 0, 0, 0; -95; 35, 80, 72.0, 0.3, 7.02, 243.2, 35.7, 0.71, 67.29, 5.03, 31.46, 3.76, 10.75
4	 0, 1, 1, 0, 0, 1, 0; 0, 0, -1, 0, 0, 0; -91; 35, 80, 70.67, 0.29, 7.02, 299.25, 90.13, 0.98, 71.68, 4.36, 18.32, 4.7, 9.75
5	 0, 0, -1, 0, 0, 1, 0; 0, 0, -1, 0, 0, -1; -86; 35, 80, 68.36, 0.28, 7.11, 273.6, 57.16, 0.89, 68.96, 3.69, 5.18, 5.64, 8.75
6	 0, 1, 1, 0, 1, 0, 1; 0, 0, -1, 0, 0, -1; -81; 35, 80, 67.2, 0.28, 7.06, 332.5, 113.67, 1, 73.32, 3.02, 12.04, 6.58, 7.75
7	 -1, 1, -1, 0, 0, 0, 0; 0, 0, -1, 0, -1, -2; -76; 34, 80, 67.32, 0.28, 7.11, 304.0, 99.94, 1.0, 67.23, 2.39, -0.22, 7.46, 6.75

1	 0, -1, 1, 0, 0, 0, 0; 0, 0, -1, 0, 0, 0; -105; 34, 80, 75.66, 0.32, 6.92, 232.75, 46.47, 0.83, 67.6, 5.37, 37.74, 1.88, 12.75
2	 1, 1, 1, 0, 0, 1, 0; 0, 0, -1, 0, 0, 0; -100; 35, 80, 73.87, 0.31, 6.94, 288.8, 87.82, 0.97, 74.11, 4.7, 24.6, 2.82, 11.75
3	 1, 0, -1, 0, 0, 0, 0; 0, 0, -1, 0, 0, -1; -95; 36, 80, 71.6, 0.3, 6.98, 266.0, 43.69, 0.82, 73.52, 3.98, 10.52, 3.83, 10.75
4	 0, 1, 0, 0, 1, 0, 0; 0, 0, -1, 0, 0, 0; -91; 36, 80, 70.67, 0.29, 6.98, 299.25, 75.3, 0.94, 73.96, 3.26, 16.44, 4.84, 9.75
5	 1, 1, -1, 0, 1, 0, 0; 0, 0, -1, 0, -1, 0; -86; 37, 80, 67.06, 0.28, 7.02, 304.0, 51.7, 0.86, 74.57, 2.49, 21.35, 5.92, 8.75
6	 1, -1, -1, 0, 0, 0, 0; 0, 0, -1, -2, -2, -1; -81; 38, 80, 64.79, 0.27, 7.07, 247.95, -16.26, 0, 74.98, 1.66, 5.17, 7.08, 7.75

1	 0, 0, -1, 1, 0, 0, 0; 0, 0, -1, 0, 0, 0; -102; 34, 80, 95.95, 0.4, 7.02, 220.4, 71.26, 0.93, 54.14, 6.37, 37.74, 1.88, 12.75
2	 -1, 0, 1, 0, 1, 1, 1; 0, 0, -1, 0, 0, 1; -97; 33, 80, 97.86, 0.41, 7.02, 243.2, 108.2, 1, 56.08, 5.78, 46.3, 2.7, 11.75
3	 1, 0, 1, 0, 1, 0, 0; 0, 0, -1, 0, 0, 1; -92; 34, 80, 94.12, 0.39, 6.98, 266.0, 117.54, 1, 62.16, 5.15, 54.04, 3.58, 10.75
4	 1, -1, 0, 1, 0, 0, 0; 0, 0, -1, 0, 0, 0; -88; 35, 80, 89.63, 0.37, 6.98, 232.75, 65.07, 0.91, 64.96, 5.48, 40.9, 4.52, 9.75
5	 0, 0, 1, 1, 1, 1, 1; 0, 0, -1, 0, 0, 1; -83; 35, 80, 88.8, 0.37, 6.98, 252.7, 84.8, 0.96, 68.99, 5.81, 47.76, 5.46, 8.75
6	 1, 0, -1, 1, 1, 1, 1; 0, 0, -1, 0, 0, 1; -78; 36, 80, 87.11, 0.36, 7.06, 232.75, 49.3, 0.85, 67.53, 6.09, 53.68, 6.47, 7.75
7	 1, 1, 1, 0, 0, 0, 1; 0, 0, -1, 0, 0, 0; -74; 37, 80, 84.76, 0.35, 7.02, 288.8, 88.99, 0.97, 74.14, 5.32, 38.59, 7.55, 6.75
8	 0, 1, 1, 0, 0, 1, 0; 0, 0, -1, 0, 0, 0; -69; 37, 80, 82.2, 0.34, 7.06, 324.9, 119.63, 1, 75.09, 4.55, 23.5, 8.63, 5.75
9	 0, 0, -1, 1, 0, 0, 0; 0, 0, -1, 0, 0, -1; -64; 37, 80, 79.9, 0.33, 7.1, 299.25, 88.06, 0.97, 72.19, 4.78, 8.41, 9.71, 4.75
10	 -1, -1, 1, 0, 0, 0, 1; 0, 0, -1, 0, 0, -2; -59; 36, 80, 80.73, 0.34, 7.06, 288.8, 93.86, 0.98, 73.52, 4.06, -5.67, 10.72, 3.75

1	 0, 1, 1, 0, 0, 1, 0; 0, 0, -1, 0, 0, 0; -106; 34, 80, 68.49, 0.29, 6.98, 299.25, 97.08, 0.99, 70.5, 5.37, 37.74, 1.88, 12.75
2	 1, 1, 1, 0, 0, 0, 1; 0, 0, -1, 0, 0, 0; -101; 35, 80, 68.28, 0.28, 6.94, 361.0, 145.27, 1, 76.6, 4.7, 24.6, 2.82, 11.75
3	 0, 1, 0, 0, 1, 1, 0; 0, 0, -1, 0, 0, 0; -96; 35, 80, 66.04, 0.28, 6.98, 361.0, 138.18, 1, 77.71, 4.03, 31.46, 3.76, 10.75
4	 -1, -1, -1, 1, 0, 0, 0; 0, 0, -1, 0, 0, 0; -91; 34, 80, 67.32, 0.28, 7.02, 299.25, 94.38, 0.99, 71.03, 4.4, 19.2, 4.64, 9.75
