
1	 0, 1, 0, 1, 1, 1, 0; 0, 0, -1, 0, 0, 1; -105; 34, 80, 74.51, 0.31, 7.02, 273.6, 86.65, 0.97, 64.23, 6.37, 57.74, 1.88, 12.75
2	 0, 1, 1, 0, 0, 1, 0; 0, 0, -1, 0, 0, 1; -100; 34, 80, 72.98, 0.3, 7.02, 332.5, 143.53, 1, 68.61, 5.74, 45.48, 2.76, 11.75
3	 -1, -1, 0, 0, 0, 0, 0; 0, 0, -1, 0, 0, 0; -95; 33, 80, 72.04, 0.3, 7.02, 299.25, 120.05, 1, 67.04, 5.15, 34.04, 3.58, 10.75
4	 1, -1, 1, 0, 1, 0, 0; 0, 0, -1, 0, 0, 0; -91; 34, 80, 69.33, 0.29, 6.98, 288.8, 89.55, 0.97, 73.93, 4.52, 41.78, 4.46, 9.75
5	 -1, -1, -1, 1, 0, 0, 1; 0, 0, -1, 0, 0, 0; -86; 33, 80, 70.95, 0.3, 7.02, 232.75, 49.3, 0.85, 67.46, 4.93, 30.34, 5.28, 8.75
6	 -1, -1, 0, 0, 0, 0, 0; 0, 0, -1, 0, 0, 0; -80; 32, 80, 72.04, 0.3, 7.02, 199.5, 29.21, 0.58, 65.22, 4.38, 19.67, 6.05, 7.75
7	 1, 1, 1, 0, 0, 0, 1; 0, 0, -1, 0, 0, -1; -76; 33, 80, 70.63, 0.29, 6.98, 252.7, 70.04, 0.93, 71.38, 3.79, 8.23, 6.87, 6.75
8	 1, 0, 0, 1, 0, 0, 0; 0, 0, -1, 0, 0, -2; -71; 34, 80, 67.06, 0.28, 6.98, 252.7, 47.24, 0.84, 74.95, 4.16, -4.03, 7.75, 5.75

1	 1, 1, 0, 0, 0, 0, 0; 0, 0, -1, 0, 0, 0; -104; 35, 80, 82.52, 0.34, 6.97, 273.6, 92.55, 0.98, 63.32, 5.33, 36.86, 1.94, 12.75
2	 0, -1, 1, 0, 0, 1, 0; 0, 0, -1, 0, 0, 0; -99; 35, 80, 79.9, 0.33, 6.98, 266.0, 79.18, 0.95, 68.01, 4.66, 23.72, 2.88, 11.75
3	 0, 1, 1, 0, 0, 0, 0; 0, 0, -1, 0, 0, -1; -95; 35, 80, 77.6, 0.32, 6.94, 324.9, 134.49, 1, 72.64, 3.99, 10.58, 3.82, 10.75
4	 1, -1, 1, 1, 1, 0, 1; 0, 0, -1, 0, 0, 0; -90; 36, 80, 75.34, 0.31, 6.94, 288.8, 78.33, 0.95, 75.65, 4.27, 16.5, 4.83, 9.75
5	 1, 0, 0, 0, 0, 0, 1; 0, 0, -1, 0, 0, -1; -85; 37, 80, 72.99, 0.3, 6.94, 288.8, 56.51, 0.88, 79.05, 3.5, 1.41, 5.91, 8.75
6	 -1, 1, 0, 0, 0, 1, 1; 0, 0, -1, 0, -1, -2; -80; 36, 80, 73.39, 0.31, 6.98, 324.9, 110.04, 1, 76.5, 2.78, -12.67, 6.92, 7.75

1	 0, -1, 1, 0, 1, 0, 1; 0, 0, -1, 0, 0, 1; -102; 34, 80, 97.36, 0.41, 6.92, 232.75, 86.6, 0.97, 61.42, 5.37, 57.74, 1.88, 12.75
2	 1, -1, 0, 1, 0, 1, 0; 0, 0, -1, 0, 0, 0; -97; 35, 80, 94.12, 0.39, 6.98, 199.5, 35.81, 0.72, 63.76, 5.7, 44.6, 2.82, 11.75
3	 -1, 0, 1, 1, 0, 0, 0; 0, 0, -1, 0, 0, 0; -92; 34, 80, 93.14, 0.39, 6.94, 216.6, 64.01, 0.91, 66.2, 6.07, 32.34, 3.7, 10.75
4	 0, 0, -1, 0, 0, 1, 0; 0, 0, -1, 0, 0, 0; -88; 34, 80, 91.37, 0.38, 7.02, 199.5, 43.29, 0.82, 62.84, 5.44, 20.08, 4.58, 9.75
5	 1, -1, 1, 0, 0, 0, 1; 0, 0, -1, -1, 0, -1; -83; 35, 80, 89.47, 0.37, 6.98, 180.5, 9.03, 0.18, 68.8, 4.77, 6.94, 5.52, 8.75
6	 1, 1, -1, 0, 0, 1, 0; 0, 0, -1, 0, 0, -2; -79; 36, 80, 85.15, 0.35, 7.06, 199.5, 10.04, 0.2, 68.17, 4.05, -7.14, 6.53, 7.75

1	 -1, 0, 1, 0, 0, 0, 0; 0, 0, -1, 0, 0, 0; -105; 33, 80, 77.48, 0.32, 6.92, 266.0, 97.53, 0.99, 65.14, 5.41, 38.56, 1.82, 12.75
2	 1, 1, 1, 1, 0, 1, 0; 0, 0, -1, 0, 0, 0; -100; 34, 80, 73.86, 0.31, 6.94, 324.9, 138.02, 1, 72.07, 5.78, 26.3, 2.7, 11.75
3	 -1, 1, 1, 0, 1, 0, 1; 0, 0, -1, 0, 0, 0; -95; 33, 80, 75.84, 0.32, 6.94, 361.0, 191.69, 1, 69.48, 5.19, 34.86, 3.52, 10.75
4	 -1, -1, 1, 1, 0, 0, 0; 0, 0, -1, 0, 0, 0; -90; 32, 80, 76.75, 0.32, 6.94, 324.9, 168.35, 1, 67.47, 5.64, 24.19, 4.29, 9.75
5	 1, -1, 0, 1, 0, 1, 0; 0, 0, -1, 0, 0, -1; -85; 33, 80, 73.86, 0.31, 6.98, 288.8, 114.24, 1, 70.17, 6.05, 12.75, 5.11, 8.75
6	 -1, 1, 0, 1, 0, 1, 0; 0, 0, -1, 0, 0, -1; -80; 32, 80, 74.4, 0.31, 7.02, 324.9, 163.87, 1, 68.22, 6.5, 2.08, 5.88, 7.75
7	 -1, 0, -1, 0, 0, 1, 0; 0, 0, -1, 0, 0, -2; -75; 31, 80, 74.4, 0.31, 7.1, 299.25, 148.78, 1, 62.78, 5.99, -7.88, 6.59, 6.75

1	 -1, 0, 0, 1, 0, 0, 0; 0, 0, -1, 0, 0, 0; -105; 33, 80, 72.84, 0.3, 6.97, 243.2, 63.13, 0.91, 62.94, 6.41, 38.56, 1.82, 12.75
2	 -1, -1, 1, 1, 0, 0, 1; 0, 0, -1, 0, 0, 0; -100; 32, 80, 73.39, 0.31, 6.92, 232.75, 65.42, 0.91, 64.76, 6.86, 27.89, 2.59, 11.75
3	 0, -1, -1, 0, 1, 0, 1; 0, 0, -1, 0, 0, 0; -95; 32, 80, 74.4, 0.31, 6.97, 182.4, 13.12, 0.26, 60.62, 6.31, 37.22, 3.36, 10.75
4	 -1, -1, -1, 0, 0, 0, 1; 0, 0, -1, -2, 0, 0; -90; 31, 80, 75.84, 0.32, 7.02, 137.75, -20.8, 0, 54.74, 5.8, 27.26, 4.07, 9.75

1	 -1, 1, 1, 0, 0, 0, 1; 0, 0, -1, 0, 0, 0; -101; 33, 80, 101.37, 0.42, 6.92, 299.25, 170.62, 1, 59.19, 5.41, 38.56, 1.82, 12.75
2	 1, 0, 0, 1, 0, 1, 1; 0, 0, -1, 0, 0, 0; -97; 34, 80, 98.88, 0.41, 6.98, 299.25, 158.49, 1, 61.09, 5.78, 26.3, 2.7, 11.75
3	 1, 1, 0, 1, 0, 0, 0; 0, 0, -1, 0, 0, -1; -92; 35, 80, 94.11, 0.39, 6.98, 332.5, 175.25, 1, 63.77, 6.11, 13.16, 3.64, 10.75
